#Nucl_X Initial_stress Strength_excess Dc_0 Dc_Rate Seismic_Moment Ruptured_Area Rupture_velocity Stress_drop E_g E_r
1000. 0.05 0.03 0.3 0.12 0.21414E+17 0.15400E+07 0.49394E+04 0.49252E+08 0.11929E+14 0.43254E+13
1000. 0.05 0.03 0.3 0.15 0.20879E+17 0.14400E+07 0.49707E+04 0.50035E+08 0.11905E+14 0.41960E+13
1000. 0.05 0.03 0.4 0.0 0.19528E+17 0.13800E+07 0.49814E+04 0.51289E+08 0.12139E+14 0.32971E+13
1000. 0.05 0.03 0.4 0.03 0.19042E+17 0.13600E+07 0.50461E+04 0.52025E+08 0.12079E+14 0.31882E+13
1000. 0.05 0.03 0.4 0.06 0.18630E+17 0.13200E+07 0.51500E+04 0.52564E+08 0.12011E+14 0.30807E+13
1000. 0.05 0.03 0.4 0.09 0.18261E+17 0.13000E+07 0.51739E+04 0.52979E+08 0.11936E+14 0.29745E+13
1000. 0.05 0.03 0.4 0.12 0.17921E+17 0.12800E+07 0.52475E+04 0.53352E+08 0.11864E+14 0.28712E+13
1000. 0.05 0.03 0.4 0.15 0.17598E+17 0.12500E+07 0.52681E+04 0.53715E+08 0.11797E+14 0.27716E+13
1000. 0.05 0.03 0.5 0.0 0.16317E+17 0.11400E+07 0.54072E+04 0.54176E+08 0.11642E+14 0.19819E+13
1000. 0.05 0.03 0.5 0.03 0.15995E+17 0.11200E+07 0.55241E+04 0.54353E+08 0.11502E+14 0.18968E+13
1000. 0.05 0.03 0.5 0.06 0.15678E+17 0.11100E+07 0.55573E+04 0.54500E+08 0.11352E+14 0.18161E+13
1000. 0.05 0.03 0.5 0.09 0.15372E+17 0.10800E+07 0.55872E+04 0.54631E+08 0.11205E+14 0.17376E+13
1000. 0.05 0.03 0.5 0.12 0.15082E+17 0.10800E+07 0.56204E+04 0.54715E+08 0.11057E+14 0.16612E+13
1000. 0.05 0.03 0.5 0.15 0.14795E+17 0.10800E+07 0.56487E+04 0.54805E+08 0.10910E+14 0.15866E+13
1000. 0.05 0.05 0.1 0.0 0.92199E+18 0.76530E+08 0.29817E+04 0.68841E+07 0.65116E+14 0.32703E+14
1000. 0.05 0.05 0.1 0.03 0.61525E+17 0.46100E+07 0.35622E+04 0.34834E+08 0.17193E+14 0.15836E+14
1000. 0.05 0.05 0.1 0.06 0.51789E+17 0.34300E+07 0.37236E+04 0.40419E+08 0.16997E+14 0.15264E+14
1000. 0.05 0.05 0.1 0.09 0.47368E+17 0.29700E+07 0.38158E+04 0.43274E+08 0.16840E+14 0.14751E+14
1000. 0.05 0.05 0.1 0.12 0.44274E+17 0.26700E+07 0.38685E+04 0.45482E+08 0.16746E+14 0.14288E+14
1000. 0.05 0.05 0.1 0.15 0.41958E+17 0.24500E+07 0.38981E+04 0.47457E+08 0.16812E+14 0.13876E+14
